name,creator,goal,pledged,fundedOn,pledges,backerCount,updateCount
mixtape-alpha,open-music-labs,6000,21682,2013-10-15T07:00:00.000Z,3,359,4
chocolate-covered-beef-jerky,shurky-jurky,10000,10108,2013-09-08T07:00:00.000Z,8,69,0
sherpa-putter-cover,seamus-golf,3000,3175,2013-07-07T07:00:00.000Z,7,54,2
made-in-the-usa-handful-bra,handful,50000,51870,2013-07-01T07:00:00.000Z,6,429,8
floating-valet-beach-pool-water-caddy-and-smart-phone-cradle,floating-valet,1,153,2014-09-07T07:00:00.000Z,4,3,0
asylum-meuse-cyclocross-bike,asylum-cycles,40000,74870,2013-05-18T07:00:00.000Z,5,42,24
lit-ultra-reflective-bike-tire,lit,15000,16020,2013-05-03T07:00:00.000Z,4,84,19
48-hour-portland-film-festival-team,jeremy-cropf-film-team,1000,1380,2013-07-31T07:00:00.000Z,5,21,2
lumenplay,rigado,10000,9861,,4,69,0
eatart-magazine,eat-art,4000,4570,2013-05-03T07:00:00.000Z,10,86,2
stor-more-key-safe,wordlock-inc,3000,3350,2013-06-12T07:00:00.000Z,4,45,0
modular-household-storage,pdx-woodlab,1950,2530,2013-10-06T07:00:00.000Z,8,30,10
its-your-space,omsi,10000,17740,2017-08-21T07:00:00.000Z,10,121,10
gript,gript,12000,12495,2015-07-23T07:00:00.000Z,6,144,4
bandynami,bandynami,500,730,2015-11-22T08:00:00.000Z,2,20,2
quadruple-weight-tournament-chess-set,chess-geeks,1000,1879,2015-06-14T07:00:00.000Z,2,42,
cashstache,light-vision-labs,500,507,2015-07-18T07:00:00.000Z,1,2,0
fokus-planlegger,fjellflyt,2680,5560,2015-11-29T08:00:00.000Z,1,101,4
scoop-tank-and-y-back-bra,handful,3000,3215,2016-01-17T08:00:00.000Z,2,19,
otium-softrack,otium-outdoors,7500,20205,2015-05-02T07:00:00.000Z,8,160,3
quiet-linear-mechanical-keyboard-switch,open-steno-project,1000,2465,2015-04-02T07:00:00.000Z,2,51,0
novena,sutajio-kosagi,250000,782382,2014-05-18T07:00:00.000Z,6,730,28
librem-15,purism,250000,592065,2015-01-31T08:00:00.000Z,6,383,38
goodwell-open-source-modern-toothbrush,goodwell,12500,7046,,11,42,2
circuit-stickers-holiday-greeting-card,chibitronics,1,150,2014-11-26T08:00:00.000Z,3,6,0
the-portland-press,bucket,50000,68618,2013-06-14T07:00:00.000Z,6,364,12
tah,revealing-hour-creations,25000,26848,2014-11-13T08:00:00.000Z,9,251,11
handmade-cedar-sup-paddles-boards-and-diy-kits,cedar-boat-works,5000,7592,2014-10-25T07:00:00.000Z,10,52,5
hydrogen-next-generation-supercapacitor-powered-portable-speaker,blueshift,10000,13890,2014-11-13T08:00:00.000Z,7,35,5
a-weather-walked-in,chieu-hoi,17000,22510,2015-01-10T08:00:00.000Z,6,313,12
hack-e-bot,hack-e-bot,7000,8026,2014-10-13T07:00:00.000Z,11,46,4
circuit-stickers,chibitronics,1,104512,2013-12-31T08:00:00.000Z,11,1073,12
usbcondom,xipiter,500,10297,2014-06-15T07:00:00.000Z,5,313,0
5-hott-jolokia-ghost-pepper-hot-sauce,nw-elixirs,3000,3555,2014-07-24T07:00:00.000Z,6,69,3
boggs-trail-butter,boggs-trail-foods,7500,9750,2014-04-20T07:00:00.000Z,7,113,23
snapshades-customizable-magnetic-sunglasses,south-south,10000,12414,2014-04-25T07:00:00.000Z,7,149,14
the-burnside-alpha-jacket,wild-outdoor-apparel,15000,19609,2014-04-07T07:00:00.000Z,4,36,4
pitchlandia-submit-your-pitch,pitchlandia,30000,32630,2014-04-17T07:00:00.000Z,7,98,8
pinja,joe-the-maker,2200,2170,,4,51,0
sleepwalker-vol-1,the-idea-boy,12000,18566,2013-12-13T08:00:00.000Z,12,236,24
power8-cpus,raptor-computing-systems,0,0,2016-10-13T07:00:00.000Z,0,0,0
binary-clock-shield,marcin-saj,1000,1133,2001-06-14T07:00:00.000Z,3,26,3
athlematics-book-quantifying-athleticism,athlematics,1500,1425,,7,31,0
inkwell-helmets,inkwell-helmets,4800,5556,2013-09-20T07:00:00.000Z,10,57,3
victory-golf-bags-and-carts,victory-golf,1000,0,,5,0,0
limesdr,lime-micro,500000,1661,2016-06-21T07:00:00.000Z,7,3501,76
open-hardware-security-module,cryptech,4000,19330,2016-08-31T07:00:00.000Z,1,28,2
circuit-classics,star-simpson,9750,51250,2016-05-30T07:00:00.000Z,6,502,20
ello-2m,yellow-beak-computer,14000,24185,2016-07-10T07:00:00.000Z,8,85,16
maximum-plunder,mike-king,18000,21339,2016-07-07T07:00:00.000Z,3,184,9
smartwifi,knewron,,,,0,,
e-paper-shield-kit,soniktech,2500,12183,2016-11-30T08:00:00.000Z,4,190,13
wigl,vivek-mano,2500,4394,2016-05-17T07:00:00.000Z,4,18,5
grow-and-cure,portland-homegrown,5600,6158,2016-04-20T07:00:00.000Z,1,22,3
steno-hero,open-steno-project,7500,8440,2016-05-15T07:00:00.000Z,5,110,5
the-essential-guide-to-electronics-in-shenzhen,sutajio-kosagi,10000,54010,2016-03-17T07:00:00.000Z,2,1457,5
perf-2,ben-wang,500,11898,2016-03-30T07:00:00.000Z,8,271,5
helium,blueshift,35000,46065,2013-12-19T08:00:00.000Z,7,108,10
usbsafe2,karoly-simon,1500,2606,2016-12-05T08:00:00.000Z,4,61,8
day-planner,i-am-naturally-empowered,5000,15607,2016-12-05T08:00:00.000Z,12,244,5
snickerdoodle,krtkl,55000,291277,2015-11-21T08:00:00.000Z,8,1242,58
snapvcc,electronut-labs,3000,5387,2015-12-14T08:00:00.000Z,3,154,4
bbq-sauces,felton-and-marys-artisan-foods,7000,11455,2015-12-06T08:00:00.000Z,7,109,8
the-oregon-gift-box,clientjoy,1200,6530,2015-12-05T08:00:00.000Z,3,18,
mariner-growler-tote,apotheca-bay,4000,4212,2015-12-06T08:00:00.000Z,4,20,2
a-fold-up-eating-set,fold-project,2000,2390,2015-04-02T07:00:00.000Z,6,41,2
the-fang-wallet,jinlong-yuan,300,795,2015-12-21T08:00:00.000Z,3,22,
x0x-heart-eurorack,open-music-labs,1500,20754,2016-06-27T07:00:00.000Z,4,62,6
park-place-snap-front-jacket,wild-outdoor-apparel,10000,11586,2013-05-03T07:00:00.000Z,3,69,7
sweet-sister-down-hoodie,wild-outdoor-apparel,5000,7589,2013-06-07T07:00:00.000Z,4,57,5
librem-13,purism,250000,455170,2015-09-17T07:00:00.000Z,5,214,19
book,portland-made,17000,18990,2015-10-14T07:00:00.000Z,12,88,7
triple-weight-tournament-chess-set,chess-geeks,1,405,2016-01-03T08:00:00.000Z,2,14,0
emojugs,causeys-crockery,1,1035,2015-09-13T07:00:00.000Z,10,12,0
armory-mk1-enclosure,crowd-supply,1000,1848,2015-08-31T07:00:00.000Z,0,62,2
irduino,longan-lab,2000,2253,2015-08-17T07:00:00.000Z,4,26,0
intelligent-sleep-mask,remzen,15000,23163,2015-07-30T07:00:00.000Z,6,90,6
portlandia-cruiser-jacket,wild-outdoor-apparel,2000,2792,2016-11-30T08:00:00.000Z,3,7,0
healthypi-v3,protocentral,1,25128,2017-07-14T07:00:00.000Z,7,88,15
limenet,lime-micro,50000,154533,2017-07-13T07:00:00.000Z,12,41,24
ultimate-hacking-keyboard,ugl,200000,684990,2015-12-14T08:00:00.000Z,9,2354,62
quark-tool,amalgam-pdx,1000,12316,2017-06-30T07:00:00.000Z,6,367,13
erasynth,era-instruments,25000,72131,2017-06-16T07:00:00.000Z,3,81,25
core2,husarion,10000,12189,2017-08-06T07:00:00.000Z,8,66,16
personal-cloud-1,gnubee,32000,60589,2017-05-04T07:00:00.000Z,6,317,10
paperino,robert-poser,5000,5956,2017-05-24T07:00:00.000Z,2,114,10
hornbill,explore-embedded,2000,7504,2017-05-23T07:00:00.000Z,10,233,7
neosegment,maksmakes,5000,6850,2017-08-14T07:00:00.000Z,5,78,7
usb-armory,inverse-path,65000,153771,2015-01-31T08:00:00.000Z,3,896,9
aeroscope-wireless-oscilloscope,aeroscope-labs,1,23989,2017-04-06T07:00:00.000Z,5,108,11
pastilda,third-pin,5500,14610,2017-04-04T07:00:00.000Z,3,170,6
eez-h24005,envox,44000,123224,2017-02-23T08:00:00.000Z,5,326,20
bes-afe-1,signal-lattice,9000,11005,2017-02-10T08:00:00.000Z,5,51,7
octopart-pocket-electronics-reference-pcb,octopart,2000,3329,2013-10-11T07:00:00.000Z,4,212,4
remoteboot,ben-wang,,,,0,,
winkel-board,mintbox-technologies,1080,2051,2017-01-23T08:00:00.000Z,7,59,8
juicyboard,plugg-ee-labs,1000,6044,2017-04-16T07:00:00.000Z,9,27,9
